Word,,
automatic pilot,(n) chế độ bay tự động,/ˌɔːtəmætɪk ˈpaɪlət/
computerization,"(n) vi tính hóa, điện toán hóa",/kəmˌpjuːtəraɪˈzeɪʃn/
data,(n) dữ liệu,/ˈdeɪtə/
keyboard,(n) bàn phím,/ˈkiːbɔːd/
keypad,(n) bàn phím số,/ˈkiːpæd/
memory,(n) bộ nhớ,/ˈmeməri/
monitor,(n) màn hình,/ˈmɒnɪtə(r)/
patent,(n) bằng sáng chế,/ˈpætnt
prototype,"(n) mẫu vật, vật đầu tiên",/ˈprəʊtətaɪp/
remote control,(n) điều khiển từ xa,/rɪˌməʊt kənˈtrəʊl/
silicon chip,(n) chíp silicon,/ˌsɪlɪkən ˈtʃɪp/
telecommunication,(n) viễn thông,/ˌtelikəˌmjuːnɪˈkeɪʃn/
vision,(n) tầm nhìn,/ˈvɪʒn/
wireless,(adj) không dây,/ˈwaɪələs/
compact,"(adj) nhỏ gọn, nén",/kəmˈpækt/
cutting-edge,(adj) tiên tiến,/ˌkʌtɪŋ ˈedʒ/
cyber,(adj) thuộc mạng internet,/saɪbə(r)/
dated,(adj) lỗi thời,/ˈdeɪtɪd/
digital,(adj) thuộc số,/ˈdɪdʒɪtl/
labour-saving,(adj) tiết kiệm sức lao động,/ˈleɪbə seɪvɪŋ/
portable,"(adj) có thể mang theo, có thể di chuyển đc",/ˈpɔːtəbl/
up-to-date,"(adj) hiện đại, cập nhật",/ˌʌp tə ˈdeɪt/
user-friendly,(adj) thân thiện với ng dùng,/ˌjuːzə ˈfrendli/
virtual,(adj) ảo,/ˈvɜːtʃuəl/
download,(v) tải xuống,/ˌdaʊnˈləʊd/
display,(v) hiển thị,/dɪˈspleɪ/
envisage,"(v) nhìn trước, vạch trc, phỏng đoán",/ɪnˈvɪzɪdʒ/
revolutionize,(v) cách mạng hóa,/ˌrevəˈluːʃənaɪz/
scroll,"(v) kéo, cuộn",/skrəʊl/
speculate,(v) phỏng đoán,/ˈspekjuleɪt/
surpass,(v) vượt qua,/səˈpɑːs/
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
